"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"a:\projects\club-4k\src\app\about-us\page.jsx", "JavaScript JSX", 0, 121, 0, 2, 7, 130
"a:\projects\club-4k\src\app\api\auth\loginAdmin\route.js", "JavaScript", 60, 0, 0, 0, 8, 68
"a:\projects\club-4k\src\app\api\auth\me\route.js", "JavaScript", 26, 0, 0, 1, 7, 34
"a:\projects\club-4k\src\app\api\auth\protected\route.js", "JavaScript", 21, 0, 0, 0, 5, 26
"a:\projects\club-4k\src\app\api\auth\refresh-token\route.js", "JavaScript", 46, 0, 0, 0, 11, 57
"a:\projects\club-4k\src\app\api\auth\registerAdmin\route.js", "JavaScript", 83, 0, 0, 0, 24, 107
"a:\projects\club-4k\src\app\api\auth\signOut\route.js", "JavaScript", 19, 0, 0, 0, 7, 26
"a:\projects\club-4k\src\app\api\auth\signin\route.js", "JavaScript", 99, 0, 0, 6, 18, 123
"a:\projects\club-4k\src\app\api\auth\sms\send\route.js", "JavaScript", 52, 0, 0, 1, 9, 62
"a:\projects\club-4k\src\app\challenge\page.jsx", "JavaScript JSX", 0, 106, 0, 6, 18, 130
"a:\projects\club-4k\src\app\contact-us\page.jsx", "JavaScript JSX", 0, 82, 0, 0, 6, 88
"a:\projects\club-4k\src\app\forget-password\page.jsx", "JavaScript JSX", 0, 83, 0, 0, 8, 91
"a:\projects\club-4k\src\app\gallery\page.jsx", "JavaScript JSX", 0, 43, 0, 0, 5, 48
"a:\projects\club-4k\src\app\globals.css", "PostCSS", 0, 0, 64, 6, 17, 87
"a:\projects\club-4k\src\app\layout.js", "JavaScript", 30, 0, 0, 0, 5, 35
"a:\projects\club-4k\src\app\loading.jsx", "JavaScript JSX", 0, 29, 0, 0, 8, 37
"a:\projects\club-4k\src\app\login-admin\page.jsx", "JavaScript JSX", 0, 12, 0, 0, 2, 14
"a:\projects\club-4k\src\app\login\page.jsx", "JavaScript JSX", 0, 10, 0, 0, 3, 13
"a:\projects\club-4k\src\app\main-admin\admins\addAdmin\page.jsx", "JavaScript JSX", 0, 13, 0, 0, 2, 15
"a:\projects\club-4k\src\app\main-admin\admins\editProfile\page.jsx", "JavaScript JSX", 0, 13, 0, 0, 2, 15
"a:\projects\club-4k\src\app\main-admin\admins\page.jsx", "JavaScript JSX", 0, 15, 0, 0, 2, 17
"a:\projects\club-4k\src\app\main-admin\challenge\page.jsx", "JavaScript JSX", 0, 15, 0, 0, 2, 17
"a:\projects\club-4k\src\app\main-admin\chatRoom\page.jsx", "JavaScript JSX", 0, 15, 0, 0, 2, 17
"a:\projects\club-4k\src\app\main-admin\comments\page.jsx", "JavaScript JSX", 0, 15, 0, 0, 2, 17
"a:\projects\club-4k\src\app\main-admin\game-net\gameNetDetails\page.jsx", "JavaScript JSX", 0, 23, 0, 0, 3, 26
"a:\projects\club-4k\src\app\main-admin\game-net\gamenetEditPage\page.jsx", "JavaScript JSX", 0, 16, 0, 0, 5, 21
"a:\projects\club-4k\src\app\main-admin\game-net\page.jsx", "JavaScript JSX", 0, 13, 0, 0, 2, 15
"a:\projects\club-4k\src\app\main-admin\page.jsx", "JavaScript JSX", 0, 39, 0, 0, 3, 42
"a:\projects\club-4k\src\app\main-admin\sessions\page.jsx", "JavaScript JSX", 0, 14, 0, 0, 3, 17
"a:\projects\club-4k\src\app\main-admin\tickets\page.jsx", "JavaScript JSX", 0, 13, 0, 0, 2, 15
"a:\projects\club-4k\src\app\main-admin\users\page.jsx", "JavaScript JSX", 0, 13, 0, 0, 3, 16
"a:\projects\club-4k\src\app\news\page.jsx", "JavaScript JSX", 0, 81, 0, 0, 6, 87
"a:\projects\club-4k\src\app\p-admin\challenges\page.jsx", "JavaScript JSX", 0, 15, 0, 0, 2, 17
"a:\projects\club-4k\src\app\p-admin\comments\page.jsx", "JavaScript JSX", 0, 15, 0, 0, 2, 17
"a:\projects\club-4k\src\app\p-admin\editProfile\page.jsx", "JavaScript JSX", 0, 13, 0, 0, 3, 16
"a:\projects\club-4k\src\app\p-admin\game-courses\page.jsx", "JavaScript JSX", 0, 33, 0, 0, 3, 36
"a:\projects\club-4k\src\app\p-admin\page.jsx", "JavaScript JSX", 0, 39, 0, 0, 3, 42
"a:\projects\club-4k\src\app\p-admin\tickets\[id]\page.jsx", "JavaScript JSX", 0, 15, 0, 0, 2, 17
"a:\projects\club-4k\src\app\p-admin\tickets\page.jsx", "JavaScript JSX", 0, 13, 0, 0, 2, 15
"a:\projects\club-4k\src\app\p-admin\users\page.jsx", "JavaScript JSX", 0, 18, 0, 0, 3, 21
"a:\projects\club-4k\src\app\p-user\challenge\page.jsx", "JavaScript JSX", 0, 21, 0, 1, 2, 24
"a:\projects\club-4k\src\app\p-user\comments\page.jsx", "JavaScript JSX", 0, 17, 0, 0, 2, 19
"a:\projects\club-4k\src\app\p-user\editprofile\page.jsx", "JavaScript JSX", 0, 57, 0, 0, 13, 70
"a:\projects\club-4k\src\app\p-user\my-statistics\page.jsx", "JavaScript JSX", 0, 51, 0, 0, 2, 53
"a:\projects\club-4k\src\app\p-user\page.jsx", "JavaScript JSX", 0, 42, 0, 0, 3, 45
"a:\projects\club-4k\src\app\p-user\tickets\page.jsx", "JavaScript JSX", 0, 47, 0, 0, 3, 50
